Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2023-03-10 00:00,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 00:15,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 00:30,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 00:45,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 01:00,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 01:15,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 01:30,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 01:45,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 02:00,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 02:15,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 02:30,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 02:45,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 03:00,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 03:15,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 03:30,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 03:45,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 04:00,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 04:15,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
2023-03-10 04:30,0,641,0,337,0,0,0,707,0,150,144,0,189,340,223,516,335
