Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2024-05-10 00:00,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 00:15,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 00:30,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 00:45,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 01:00,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 01:15,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 01:30,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 01:45,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 02:00,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 02:15,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 02:30,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 02:45,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 03:00,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 03:15,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 03:30,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 03:45,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 04:00,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 04:15,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 04:30,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 04:45,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 05:00,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 05:15,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 05:30,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
2024-05-10 05:45,0,655,0,362,0,0,0,682,0,0,0,224,182,366,195,534,288
