Datum und Uhrzeit,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2020-05-06 00:00,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 00:15,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 00:30,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 00:45,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 01:00,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 01:15,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 01:30,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 01:45,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 02:00,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 02:15,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 02:30,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 02:45,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 03:00,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 03:15,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 03:30,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 03:45,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 04:00,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 04:15,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 04:30,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 04:45,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 05:00,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 05:15,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
2020-05-06 05:30,0,0,366,0,0,0,0,0,150,0,229,226,422,295,590,238
